 ,Label,Area,BX,BY,Width,Height,Angle,Length
237,c75(a1-c2)-9.tif:0002-0414-0790:2,0.402,133.390,69.322,1.186,1.864,55.008,2.132
238,c75(a1-c2)-9.tif:0002-0494-0780:2,0.402,131.864,82.712,0.678,2.034,71.565,2.144
239,c75(a1-c2)-9.tif:0002-0521-0771:2,0.402,130.339,87.288,0.847,2.203,67.380,2.288
240,c75(a1-c2)-9.tif:0002-0623-0792:2,0.517,133.390,104.576,1.695,2.203,52.431,2.825
241,c75(a1-c2)-9.tif:0002-0652-0603:2,0.402,102.203,109.492,0.169,2.203,-94.764,2.150
242,c75(a1-c2)-9.tif:0002-0622-0486:2,0.345,82.034,104.576,0.847,1.695,68.199,1.870
243,c75(a1-c2)-9.tif:0002-0772-0529:2,0.431,89.661,129.661,0.169,2.373,-85.914,2.376
244,c75(a1-c2)-9.tif:0002-0595-0236:2,0.345,39.661,100.000,0.847,1.695,68.199,1.870
245,c75(a1-c2)-9.tif:0002-0360-0194:2,0.460,31.864,60.339,2.034,1.525,36.870,2.577
246,c75(a1-c2)-9.tif:0002-0231-0234:2,0.316,39.322,38.475,0.678,1.525,66.038,1.618
247,c75(a1-c2)-9.tif:0002-0252-0223:2,0.431,37.458,41.695,0.847,2.203,67.380,2.329
248,c75(a1-c2)-9.tif:0002-0274-0185:2,0.373,31.186,45.424,0.339,2.034,-80.538,2.062
249,c75(a1-c2)-9.tif:0002-0468-0024:2,0.431,3.559,78.305,1.017,2.203,63.435,2.376
250,c75(a1-c2)-9.tif:0002-0200-0098:2,0.287,16.271,33.390,0.847,1.186,54.462,1.537
