 ;Label;Area;BX;BY;Width;Height;Angle;Length
231;ms510(a1-c5)-6.tif:0003-0339-0412:3;0.345;69.153;56.949;1.525;1.017;-33.690;1.833
232;ms510(a1-c5)-7.tif:0001-0410-0854:1;0.603;143.898;68.136;1.695;2.881;-60.945;3.392
233;ms510(a1-c5)-7.tif:0003-0483-0618:3;0.833;102.712;80.847;4.237;2.203;-26.565;4.700
234;ms510(a1-c5)-7.tif:0003-0511-0640:3;0.488;107.797;85.593;1.356;2.203;-58.392;2.635
235;ms510(a1-c5)-7.tif:0003-0661-0454:3;0.431;76.102;111.356;1.864;1.525;-39.289;2.402
236;ms510(a1-c5)-7.tif:0003-0537-0364:3;0.460;60.847;90.169;1.695;1.864;-47.726;2.478
237;ms510(a1-c5)-7.tif:0003-0441-0315:3;0.402;52.712;73.898;1.356;1.695;-51.340;2.171
238;ms510(a1-c5)-7.tif:0003-0466-0325:3;0.373;54.576;78.305;1.186;1.525;-55.008;2.012
239;ms510(a1-c5)-7.tif:0003-0515-0313:3;0.460;52.373;86.271;1.525;2.034;-53.130;2.577
240;ms510(a1-c5)-7.tif:0003-0527-0512:3;0.431;85.932;88.475;1.695;1.695;-45.000;2.397
241;ms510(a1-c5)-7.tif:0003-0498-0525:3;0.689;87.966;82.881;2.203;3.220;-54.162;3.823
242;ms510(a1-c5)-7.tif:0003-0529-0550:3;0.488;92.373;88.814;1.864;1.864;-45.000;2.638
243;ms510(a1-c5)-7.tif:0003-0597-0546:3;0.431;91.864;100.339;1.525;1.864;-53.973;2.329
244;ms510(a1-c5)-7.tif:0003-0689-0564:3;0.373;95.085;115.932;1.017;1.695;-59.036;1.977
245;ms510(a1-c5)-7.tif:0003-0691-0543:3;0.575;91.525;115.763;1.186;2.881;-70.560;3.148
246;ms510(a1-c5)-7.tif:0003-0481-0725:3;0.402;122.203;80.678;1.525;1.695;-48.013;2.243
247;ms510(a1-c5)-7.tif:0003-0442-0875:3;0.488;147.627;73.898;1.356;2.203;-60.255;2.635
248;ms510(a1-c5)-7.tif:0003-0420-0770:3;0.373;130.000;70.508;1.186;1.525;-48.366;2.012
249;ms510(a1-c5)-7.tif:0003-0410-0744:3;0.603;124.915;68.475;2.542;2.203;-43.025;3.360
250;ms510(a1-c5)-7.tif:0003-0510-0052:3;0.517;7.966;85.424;1.864;2.203;49.399;2.966
251;ms510(a1-c5)-7.tif:0003-0477-0079:3;0.575;12.542;79.661;1.864;2.542;53.746;3.142
252;ms510(a1-c5)-7.tif:0003-0418-0116:3;0.316;19.153;70.169;1.017;1.356;-53.130;1.695
253;ms510(a1-c5)-7.tif:0003-0447-0133:3;0.316;22.203;75.085;0.847;1.525;-57.995;1.668
254;ms510(a1-c5)-7.tif:0003-0533-0210:3;0.402;34.746;89.831;1.864;1.186;-32.471;2.132
255;ms510(a1-c5)-7.tif:0003-0869-0777:3;0.460;130.847;146.441;1.695;1.864;-50.194;2.562
256;ms510(a1-c5)-7.tif:0003-0953-0477:3;0.575;80.508;160.000;0.678;3.220;-78.111;3.236
257;ms510(a1-c5)-7.tif:0003-0881-0567:3;0.546;95.593;147.966;1.186;2.881;-69.444;3.042
258;ms510(a1-c5)-7.tif:0003-0799-0467:3;0.776;77.797;133.898;2.881;3.220;-46.548;4.401
259;ms510(a1-c5)-7.tif:0003-0829-0487:3;0.546;81.695;139.322;1.864;2.542;-56.310;3.074
260;ms510(a1-c5)-7.tif:0003-0630-0475:3;0.373;80.169;105.932;0.847;1.864;-63.435;2.021
261;ms510(a1-c5)-7.tif:0003-0701-0576:3;0.431;97.458;117.797;0.508;2.203;102.995;2.305
262;ms510(a1-c5)-7.tif:0003-0725-0587:3;0.517;98.475;122.034;2.034;1.864;-45.000;2.798
263;ms510(a1-c5)-7.tif:0003-0109-0421:3;0.546;70.339;17.458;2.034;2.203;-49.399;3.040
264;ms510(a1-c5)-7.tif:0003-0440-1339:3;0.316;226.610;73.898;0.847;1.525;-56.310;1.725
265;ms510(a1-c5)-7.tif:0003-0433-1041:3;0.373;175.593;72.881;1.695;1.017;-30.964;1.977
266;ms510(a1-c5)-7.tif:0003-0382-1143:3;0.488;192.712;64.068;2.203;1.356;-29.745;2.635
267;ms510(a1-c5)-7.tif:0003-0406-1028:3;0.373;173.898;67.966;0.847;1.864;109.983;2.077
268;ms510(a1-c5)-7.tif:0003-0768-1027:3;0.517;173.220;129.153;1.864;2.203;-52.431;2.894
269;ms510(a1-c5)-7.tif:0003-0684-1093:3;0.402;184.915;114.915;0.847;2.034;-67.380;2.226
270;ms510(a1-c5)-7.tif:0003-0650-0164:3;0.546;26.949;108.983;1.695;2.542;-54.462;3.009
271;ms510(a1-c5)-7.tif:0003-0651-0034:3;0.603;5.254;108.814;1.017;3.220;-72.474;3.323
272;ms510(a1-c5)-7.tif:0003-0505-0261:3;0.402;43.559;84.915;1.525;1.525;-41.987;2.237
273;ms510(a1-c5)-7.tif:0003-0590-0423:3;0.316;71.356;99.322;0.678;1.525;-68.199;1.721
274;ms510(a1-c5)-8.tif:0002-0379-0667:2;0.661;111.695;63.051;2.881;2.542;-43.152;3.780
275;ms510(a1-c5)-8.tif:0002-0404-0696:2;0.575;116.780;67.627;2.542;1.864;-36.254;3.153
276;ms510(a1-c5)-8.tif:0002-0459-0738:2;0.345;124.576;77.119;1.186;1.525;-56.310;1.814
277;ms510(a1-c5)-8.tif:0002-0074-0130:2;0.460;21.356;11.525;1.356;2.203;-61.699;2.471
278;ms510(a1-c5)-8.tif:0002-0050-0113:2;0.402;18.644;7.627;1.186;1.864;-57.529;2.139
279;ms510(a1-c5)-8.tif:0002-0234-0202:2;0.230;34.068;39.153;0.508;1.186;108.435;1.180
280;ms510(a1-c5)-8.tif:0002-0250-0214:2;0.316;35.593;41.864;1.525;1.017;-33.690;1.716
281;ms510(a1-c5)-8.tif:0002-0316-0220:2;0.632;36.441;52.034;1.695;3.220;-62.241;3.525
282;ms510(a1-c5)-8.tif:0002-0281-0190:2;0.632;31.186;46.271;2.203;2.881;-54.782;3.576
283;ms510(a1-c5)-8.tif:0002-0308-0155:2;0.431;25.424;51.525;1.864;1.525;-39.289;2.344
284;ms510(a1-c5)-8.tif:0002-0315-0283:2;0.373;47.288;52.712;1.356;1.525;-48.366;2.041
285;ms510(a1-c5)-8.tif:0002-0137-0395:2;0.460;65.932;22.373;2.034;1.695;-36.870;2.594
286;ms510(a1-c5)-8.tif:0002-0962-0313:2;0.517;52.542;161.864;1.186;2.542;-64.983;2.806
287;ms510(a1-c5)-8.tif:0002-0985-0324:2;0.517;54.576;165.593;0.847;2.712;-72.646;2.841
288;ms510(a1-c5)-8.tif:0002-0936-0836:2;0.345;141.356;157.797;0.678;1.864;-70.017;1.904
289;ms510(a1-c5)-8.tif:0002-0960-0850:2;0.431;143.220;161.864;1.695;1.695;-48.013;2.338
290;ms510(a1-c5)-8.tif:0002-0934-0786:2;0.402;132.881;157.288;0.678;2.203;77.005;2.282
291;ms510(a1-c5)-8.tif:0002-0785-0792:2;0.230;133.898;132.542;0.847;1.017;-50.194;1.260
292;ms510(a1-c5)-8.tif:0002-0772-0825:2;0.546;139.322;129.492;1.017;2.881;-70.560;3.056
293;ms510(a1-c5)-8.tif:0002-0713-0816:2;0.316;137.797;120.169;1.186;1.356;-48.814;1.739
294;ms510(a1-c5)-8.tif:0002-0380-0882:2;0.373;149.492;63.390;0.169;2.034;90.000;1.951
295;ms510(a1-c5)-8.tif:0002-0360-0773:2;0.517;130.508;59.661;1.017;2.712;68.199;2.817
296;ms510(a1-c5)-8.tif:0002-0325-1165:2;0.460;196.271;54.576;2.373;1.186;-23.199;2.616
297;ms510(a1-c5)-8.tif:0002-0310-1137:2;0.517;191.695;51.525;2.034;2.034;-42.510;2.817
298;ms510(a1-c5)-8.tif:0002-0357-1085:2;0.287;183.390;60.000;1.186;1.186;-40.601;1.558
299;ms510(a1-c5)-8.tif:0002-0387-1104:2;0.661;186.102;64.068;2.203;3.051;-54.162;3.714
300;ms510(a1-c5)-8.tif:0002-0564-1081:2;0.402;182.542;94.746;1.356;1.864;-55.008;2.187
301;ms510(a1-c5)-8.tif:0002-0522-1285:2;0.402;217.119;87.627;1.525;1.695;-48.013;2.161
