 ,Label,Area,BX,BY,Width,Height,Angle,Length
65,pdc40(a1-b1)-10.tif:0001-0630-0681:1,0.431,114.407,106.271,2.034,1.186,-30.256,2.327
66,pdc40(a1-b1)-10.tif:0001-0717-0623:1,0.402,105.254,120.508,0.847,2.034,-67.380,2.226
67,pdc40(a1-b1)-10.tif:0001-0784-0638:1,0.345,108.136,132.034,0.169,1.864,-84.806,1.822
68,pdc40(a1-b1)-10.tif:0001-0769-0614:1,0.431,103.051,130.000,2.203,0.847,-24.775,2.329
69,pdc40(a1-b1)-10.tif:0001-0783-0605:1,0.431,102.034,131.695,1.186,2.034,-59.744,2.327
70,pdc40(a1-b1)-10.tif:0001-0784-0600:1,0.431,101.017,132.034,1.525,1.864,-47.726,2.402
71,pdc40(a1-b1)-10.tif:0001-0348-1007:1,0.345,170.000,58.305,1.356,1.356,-45.000,1.918
72,pdc40(a1-b1)-10.tif:0001-0321-0982:1,0.402,165.593,53.729,1.695,1.356,-38.660,2.171
73,pdc40(a1-b1)-10.tif:0001-0431-0987:1,0.373,166.949,72.203,0.678,1.864,-70.017,2.037
74,pdc40(a1-b1)-10.tif:0001-0451-0990:1,0.287,167.288,75.932,1.186,1.186,-40.601,1.598
75,pdc40(a1-b1)-10.tif:0001-0520-1330:1,0.287,225.254,87.458,0.508,1.525,-63.435,1.574
76,pdc40(a1-b1)-10.tif:0001-0341-0820:1,0.287,138.475,57.458,1.186,0.847,-36.870,1.537
77,pdc40(a1-b1)-10.tif:0001-0323-0799:1,0.316,134.746,54.237,1.356,1.186,-36.870,1.765
78,pdc40(a1-b1)-10.tif:0001-0296-0761:1,0.402,128.305,49.322,1.525,1.695,-48.013,2.243
79,pdc40(a1-b1)-10.tif:0001-0366-0724:1,0.316,122.203,61.525,1.186,1.186,-45.000,1.680
80,pdc40(a1-b1)-10.tif:0001-0322-0960:1,0.201,162.542,54.237,0.508,0.847,-51.340,1.066
81,pdc40(a1-b1)-10.tif:0001-0336-0969:1,0.316,163.729,56.441,1.186,1.186,-45.000,1.680
82,pdc40(a1-b1)-10.tif:0001-0558-0930:1,0.316,157.288,93.898,0.847,1.525,63.435,1.668
83,pdc40(a1-b1)-10.tif:0001-0487-1115:1,0.230,188.983,82.034,0.169,1.186,-74.055,1.263
84,pdc40(a1-b1)-2.tif:0002-0347-0319:2,0.431,53.898,57.627,0.339,2.373,-81.870,2.397
85,pdc40(a1-b1)-2.tif:0002-0326-0318:2,0.230,53.898,54.746,0.000,1.186,-90.000,1.130
