 ,Label,Area,BX,BY,Width,Height,Angle,Length
63,c74(a1-1d)-10.tif:0001-0757-1256:1,0.345,212.373,127.627,1.186,1.525,48.814,1.924
64,c74(a1-1d)-10.tif:0001-0775-1246:1,0.259,211.017,130.678,0.508,1.356,69.444,1.429
65,c74(a1-1d)-10.tif:0001-0645-1290:1,0.488,218.305,108.136,0.847,2.542,75.069,2.717
66,c74(a1-1d)-10.tif:0001-0635-1286:1,0.488,217.458,106.441,1.186,2.373,60.255,2.679
67,c74(a1-1d)-10.tif:0001-0619-1205:1,0.402,203.559,104.068,1.356,1.864,53.973,2.260
68,c74(a1-1d)-10.tif:0001-0570-1141:1,0.402,192.881,95.763,1.186,1.864,59.036,2.132
69,c74(a1-1d)-10.tif:0001-0596-1057:1,0.689,179.153,99.153,0.169,3.898,94.970,3.961
70,c74(a1-1d)-10.tif:0001-0625-1057:1,0.230,179.153,105.424,0.169,1.186,105.945,1.263
71,c74(a1-1d)-10.tif:0001-0561-0953:1,0.345,161.525,94.237,0.169,1.864,79.695,1.934
72,c74(a1-1d)-10.tif:0001-0555-0946:1,0.575,160.000,92.542,0.678,3.220,78.111,3.236
73,c74(a1-1d)-10.tif:0001-0761-0731:1,0.345,123.898,128.136,0.000,1.864,90.000,1.808
74,c74(a1-1d)-10.tif:0001-0689-0727:1,0.316,123.220,115.932,0.169,1.695,84.289,1.699
75,c74(a1-1d)-10.tif:0001-0948-1262:1,0.546,213.220,159.322,1.525,2.712,63.435,3.084
76,c74(a1-1d)-10.tif:0001-0967-1286:1,0.460,217.797,162.712,0.339,2.542,82.405,2.509
77,c74(a1-1d)-10.tif:0001-0756-1340:1,0.287,226.780,127.627,0.847,1.186,54.462,1.537
78,c74(a1-1d)-10.tif:0001-0783-1285:1,0.201,217.458,132.373,0.678,0.847,45.000,1.042
79,c74(a1-1d)-10.tif:0001-0794-1277:1,0.201,216.102,134.237,0.678,0.847,51.340,1.042
80,c74(a1-1d)-10.tif:0001-0861-0895:1,0.431,151.017,145.085,1.186,2.034,56.310,2.384
81,c74(a1-1d)-10.tif:0001-0548-1163:1,0.402,197.119,91.864,0.169,2.203,85.914,2.271
82,c74(a1-1d)-10.tif:0001-0385-0864:1,0.431,146.271,64.068,0.508,2.373,77.905,2.416
83,c74(a1-1d)-10.tif:0001-0410-0861:1,0.287,145.932,68.814,0.000,1.525,90.000,1.582
84,c74(a1-1d)-10.tif:0001-0454-0719:1,0.373,121.186,76.271,1.525,1.356,38.660,2.084
85,c74(a1-1d)-10.tif:0001-0392-0568:1,0.373,95.763,65.593,1.017,1.695,59.036,1.977
86,c74(a1-1d)-10.tif:0001-0443-0317:1,0.546,53.220,73.729,1.017,2.881,70.560,3.109
87,c74(a1-1d)-10.tif:0001-0418-0330:1,0.373,55.424,70.000,1.017,1.864,59.036,2.074
88,c74(a1-1d)-10.tif:0001-0293-0388:1,0.230,65.593,49.153,0.339,1.186,74.055,1.180
89,c74(a1-1d)-10.tif:0001-0274-0403:1,0.546,67.458,45.254,1.695,2.542,56.310,3.103
90,c74(a1-1d)-10.tif:0001-0281-0506:1,0.575,85.593,46.102,0.339,3.220,96.009,3.182
91,c74(a1-1d)-10.tif:0001-0313-0502:1,0.517,84.915,51.695,0.508,2.881,79.380,2.861
92,c74(a1-1d)-10.tif:0001-0315-0487:1,0.804,82.203,51.186,0.678,4.576,81.573,4.570
93,c74(a1-1d)-10.tif:0001-0363-0478:1,0.460,81.017,60.339,0.169,2.542,86.186,2.609
94,c74(a1-1d)-10.tif:0001-0382-0481:1,0.230,81.525,64.237,0.000,1.186,90.000,1.243
95,c74(a1-1d)-10.tif:0001-0462-0486:1,0.402,82.203,77.288,0.508,2.203,77.005,2.194
96,c74(a1-1d)-10.tif:0001-0459-0469:1,0.575,78.644,76.610,1.864,2.542,53.746,3.142
97,c74(a1-1d)-10.tif:0001-0475-0520:1,0.517,87.119,79.661,2.203,1.695,37.569,2.825
98,c74(a1-1d)-10.tif:0001-0497-0500:1,0.661,84.068,82.542,1.525,3.390,65.772,3.741
99,c74(a1-1d)-10.tif:0001-0502-0486:1,0.259,81.864,84.746,1.017,0.847,39.806,1.288
100,c74(a1-1d)-10.tif:0001-0473-0395:1,0.259,66.949,79.492,0.169,1.356,97.125,1.361
101,c74(a1-1d)-10.tif:0001-0453-0410:1,0.230,69.492,76.271,0.169,1.186,90.000,1.136
102,c74(a1-1d)-10.tif:0001-0441-0417:1,0.201,70.339,74.576,0.847,0.508,38.660,0.972
103,c74(a1-1d)-10.tif:0001-0480-0431:1,0.230,72.712,80.847,0.678,1.017,56.310,1.222
104,c74(a1-1d)-10.tif:0001-0501-0378:1,0.460,63.051,84.407,2.203,1.186,33.690,2.481
105,c74(a1-1d)-10.tif:0001-0447-0265:1,0.230,44.915,75.254,0.169,1.186,74.055,1.152
106,c74(a1-1d)-10.tif:0001-0294-0335:1,0.431,56.441,48.814,0.678,2.203,105.945,2.359
107,c74(a1-1d)-10.tif:0001-0270-0346:1,0.431,58.136,44.746,1.017,2.203,65.225,2.376
108,c74(a1-1d)-10.tif:0001-0241-0360:1,0.402,60.508,40.000,1.186,1.864,57.529,2.194
109,c74(a1-1d)-10.tif:0001-0189-0430:1,0.373,72.712,31.186,0.339,1.864,79.695,1.951
110,c74(a1-1d)-10.tif:0001-0214-0277:1,0.575,46.610,34.746,0.847,3.220,74.476,3.261
111,c74(a1-1d)-10.tif:0001-0292-0594:1,0.287,100.678,48.814,0.169,1.525,90.000,1.473
112,c74(a1-1d)-10.tif:0001-0251-0620:1,0.460,105.085,41.356,0.169,2.542,90.000,2.488
113,c74(a1-1d)-10.tif:0001-0312-0760:1,0.402,127.797,52.542,2.034,0.847,22.620,2.226
114,c74(a1-1d)-10.tif:0001-0327-0749:1,0.287,126.949,54.746,0.000,1.525,90.000,1.582
115,c74(a1-1d)-10.tif:0001-0318-0771:1,0.345,130.169,53.220,1.186,1.525,52.125,1.924
116,c74(a1-1d)-10.tif:0001-0319-0795:1,0.402,133.729,53.559,2.034,1.017,26.565,2.274
117,c74(a1-1d)-10.tif:0001-0349-0861:1,0.402,145.932,58.136,0.169,2.203,94.399,2.263
118,c74(a1-1d)-10.tif:0001-0515-0872:1,0.259,147.627,86.780,0.339,1.186,74.055,1.288
119,c74(a1-1d)-10.tif:0001-0500-0878:1,0.201,148.644,84.407,0.508,0.847,51.340,1.066
120,c74(a1-1d)-10.tif:0001-0603-0656:1,0.230,111.186,101.695,0.000,1.186,90.000,1.130
121,c74(a1-1d)-10.tif:0001-0612-0635:1,0.632,107.288,102.034,0.678,3.559,79.216,3.568
122,c74(a1-1d)-10.tif:0001-0621-0640:1,0.259,108.136,104.746,0.678,1.186,60.255,1.416
123,c74(a1-1d)-10.tif:0001-0620-0624:1,0.287,105.593,104.407,0.508,1.525,71.565,1.574
124,c74(a1-1d)-10.tif:0001-0635-0620:1,0.259,104.576,107.288,1.017,0.847,39.806,1.361
125,c74(a1-1d)-10.tif:0001-0816-0575:1,0.575,96.610,137.119,1.864,2.542,56.310,3.166
126,c74(a1-1d)-10.tif:0001-0842-0578:1,0.402,97.797,141.695,0.508,2.203,-77.005,2.194
