 ,Label,Area,BX,BY,Width,Height,Angle,Length
30,pdc40(a1-c2)-1.tif:0001-0266-0028:1,0.172,4.746,44.746,0.169,0.847,90.000,0.911
31,pdc40(a1-c2)-1.tif:0001-0247-0038:1,0.373,6.271,40.847,0.339,2.034,99.462,2.062
32,pdc40(a1-c2)-1.tif:0001-0262-0231:1,0.316,38.814,43.729,0.678,1.525,66.038,1.721
33,pdc40(a1-c2)-1.tif:0001-0436-0382:1,0.402,64.576,72.881,0.508,2.203,77.005,2.220
34,pdc40(a1-c2)-10.tif:0001-0665-0560:1,0.488,93.729,112.034,2.542,1.356,28.072,2.767
35,pdc40(a1-c2)-10.tif:0001-0713-0504:1,0.603,84.576,119.492,1.864,2.881,57.095,3.361
36,pdc40(a1-c2)-10.tif:0001-0621-0665:1,0.747,112.203,103.220,1.186,4.237,74.358,4.319
37,pdc40(a1-c2)-10.tif:0001-0659-0747:1,0.402,126.610,110.678,0.169,2.203,-90.000,2.205
38,pdc40(a1-c2)-10.tif:0001-0737-0695:1,0.345,116.949,124.915,1.864,0.169,5.194,1.782
39,pdc40(a1-c2)-10.tif:0001-0587-0601:1,0.287,101.525,98.814,0.678,1.525,66.038,1.558
40,pdc40(a1-c2)-10.tif:0001-0791-0688:1,0.287,115.932,133.559,1.356,1.017,-40.601,1.576
41,pdc40(a1-c2)-10.tif:0001-0615-0820:1,0.345,138.305,103.559,1.356,1.525,52.125,1.921
42,pdc40(a1-c2)-10.tif:0001-0830-0614:1,0.287,103.729,140.000,0.678,1.525,66.038,1.592
43,pdc40(a1-c2)-10.tif:0001-0850-0612:1,0.287,103.390,143.390,0.678,1.525,71.565,1.558
44,pdc40(a1-c2)-10.tif:0001-0148-0916:1,0.287,155.085,24.407,0.508,1.525,69.444,1.528
45,pdc40(a1-c2)-10.tif:0001-0209-0890:1,0.373,150.339,34.576,1.017,1.695,59.036,1.977
46,pdc40(a1-c2)-10.tif:0001-0255-1157:1,0.402,196.102,42.203,0.169,2.203,-94.399,2.125
47,pdc40(a1-c2)-10.tif:0001-0431-1248:1,0.488,211.017,71.864,1.017,2.542,68.199,2.708
48,pdc40(a1-c2)-10.tif:0001-0529-0912:1,0.460,154.576,88.475,0.000,2.542,-90.000,2.542
49,pdc40(a1-c2)-10.tif:0001-0402-0859:1,0.316,144.746,67.966,1.695,0.339,11.310,1.728
50,pdc40(a1-c2)-10.tif:0001-0536-1104:1,0.144,186.780,90.847,0.678,0.169,0.000,0.683
51,pdc40(a1-c2)-10.tif:0001-0534-1120:1,0.287,189.153,90.169,1.356,0.678,20.556,1.480
52,pdc40(a1-c2)-10.tif:0001-0035-0426:1,0.287,71.525,5.593,1.525,0.678,26.565,1.592
53,pdc40(a1-c2)-10.tif:0001-0246-0126:1,0.488,21.356,40.339,0.169,2.712,86.424,2.633
54,pdc40(a1-c2)-10.tif:0001-0195-0263:1,0.402,44.237,32.034,0.847,2.034,71.565,2.172
55,pdc40(a1-c2)-10.tif:0001-0185-0019:1,0.230,2.712,31.186,1.186,0.339,15.945,1.213
56,pdc40(a1-c2)-2.tif:0001-0564-0435:1,0.460,72.542,95.593,2.542,0.169,-7.595,2.496
57,pdc40(a1-c2)-2.tif:0001-0528-0551:1,0.230,92.881,89.322,1.186,0.508,-29.745,1.263
58,pdc40(a1-c2)-2.tif:0001-0550-0524:1,0.201,88.475,93.051,0.847,0.508,-21.801,0.960
59,pdc40(a1-c2)-2.tif:0001-0579-0449:1,0.259,75.593,97.797,1.017,0.847,39.806,1.288
60,pdc40(a1-c2)-2.tif:0001-0577-0468:1,0.431,78.136,97.627,2.373,0.508,-15.945,2.439
61,pdc40(a1-c2)-2.tif:0001-0604-0478:1,0.287,80.508,101.864,1.186,1.017,-40.601,1.520
62,pdc40(a1-c2)-2.tif:0001-0612-0484:1,0.259,81.525,103.559,1.186,0.508,23.199,1.291
63,pdc40(a1-c2)-2.tif:0001-0613-0464:1,0.431,77.627,103.390,2.203,1.017,-26.565,2.376
64,pdc40(a1-c2)-2.tif:0001-0603-0508:1,0.172,85.763,102.034,0.678,0.339,-26.565,0.809
65,pdc40(a1-c2)-2.tif:0001-0459-0380:1,0.373,64.068,76.780,0.678,2.034,-65.556,2.109
66,pdc40(a1-c2)-2.tif:0001-0384-0655:1,0.287,110.339,65.085,1.525,0.000,0.000,1.526
67,pdc40(a1-c2)-2.tif:0001-0380-0636:1,0.402,106.780,64.407,2.203,0.169,4.399,2.210
68,pdc40(a1-c2)-2.tif:0001-0363-0498:1,0.488,83.898,60.339,1.186,2.373,-64.983,2.679
69,pdc40(a1-c2)-2.tif:0001-0743-1090:1,0.402,183.729,125.763,2.034,0.508,-14.036,2.151
70,pdc40(a1-c2)-2.tif:0001-0704-1174:1,0.517,198.983,117.966,0.000,2.881,-93.366,2.938
71,pdc40(a1-c2)-2.tif:0001-0856-1274:1,0.345,215.254,144.576,1.525,1.186,-41.634,1.924
72,pdc40(a1-c2)-2.tif:0001-0380-0167:1,0.287,28.136,63.729,0.339,1.525,75.964,1.508
73,pdc40(a1-c2)-2.tif:0001-0152-0188:1,0.287,31.356,25.424,1.186,0.847,-40.601,1.447
74,pdc40(a1-c2)-2.tif:0001-0839-0699:1,0.316,117.627,142.203,1.695,0.169,-5.711,1.703
75,pdc40(a1-c2)-2.tif:0001-0893-0585:1,0.287,98.814,150.678,0.847,1.356,-57.995,1.521
76,pdc40(a1-c2)-2.tif:0001-0814-0620:1,0.345,104.915,137.119,0.508,1.695,-73.301,1.840
77,pdc40(a1-c2)-3.tif:0001-0494-0330:1,0.230,55.424,83.390,1.017,0.678,26.565,1.177
78,pdc40(a1-c2)-3.tif:0001-0503-0322:1,0.230,54.237,84.915,0.847,0.847,45.000,1.140
79,pdc40(a1-c2)-3.tif:0001-0505-0338:1,0.316,56.949,84.915,0.847,1.525,-60.945,1.745
80,pdc40(a1-c2)-3.tif:0001-0312-0274:1,0.172,46.102,52.712,0.678,0.508,45.000,0.781
81,pdc40(a1-c2)-3.tif:0001-0341-0344:1,0.402,57.458,56.949,1.695,1.695,45.000,2.277
82,pdc40(a1-c2)-3.tif:0001-0139-0841:1,0.373,142.203,22.712,0.678,1.864,70.017,1.984
83,pdc40(a1-c2)-3.tif:0001-0232-0812:1,0.287,137.458,38.644,0.339,1.525,77.471,1.546
84,pdc40(a1-c2)-3.tif:0001-0294-0520:1,0.316,87.627,49.153,1.017,1.525,56.310,1.763
85,pdc40(a1-c2)-3.tif:0001-0316-0510:1,0.230,86.441,53.051,0.169,1.186,-90.000,1.105
86,pdc40(a1-c2)-3.tif:0001-0122-0859:1,0.316,145.085,20.000,1.017,1.356,53.130,1.645
87,pdc40(a1-c2)-3.tif:0001-0069-0752:1,0.287,126.949,11.186,1.186,1.017,39.806,1.443
88,pdc40(a1-c2)-3.tif:0001-0060-0435:1,0.345,72.881,10.000,1.864,0.508,-16.699,1.829
89,pdc40(a1-c2)-3.tif:0001-0839-0084:1,0.460,13.559,141.186,1.525,2.034,53.130,2.492
90,pdc40(a1-c2)-3.tif:0001-0834-0124:1,0.402,20.169,140.678,1.695,1.525,41.987,2.218
91,pdc40(a1-c2)-3.tif:0001-0967-0302:1,0.201,50.847,163.559,0.678,0.847,51.340,1.020
92,pdc40(a1-c2)-3.tif:0001-0954-0328:1,0.144,55.424,161.525,0.508,0.508,33.690,0.662
93,pdc40(a1-c2)-3.tif:0001-0928-0397:1,0.345,66.949,156.441,0.678,1.695,68.199,1.825
94,pdc40(a1-c2)-3.tif:0001-0723-0699:1,0.488,117.458,121.695,2.034,1.864,42.510,2.759
95,pdc40(a1-c2)-3.tif:0001-0807-0592:1,0.373,100.169,135.763,0.508,2.034,75.964,2.096
96,pdc40(a1-c2)-3.tif:0001-0962-0483:1,0.488,80.847,162.203,2.034,1.864,42.510,2.703
97,pdc40(a1-c2)-3.tif:0001-0997-0737:1,0.345,124.068,168.475,1.695,1.017,30.964,1.861
