 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
186,Control5.lif - Series001:0015-0596-0186:z:15/29 - Series001,0.553,56.632,25.327,101.583,33.580,107.534,45.000,2.976
187,Control5.lif - Series001:0001-0707-0205:z:1/29 - Series001,0.618,96.835,44.000,134.667,37.037,127.525,18.435,3.309
188,Control5.lif - Series001:0029-0323-0603:z:29/29 - Series001,0.553,89.012,53.500,117.500,108.811,58.216,36.870,2.832
189,Control5.lif - Series001:0029-0316-0622:z:29/29 - Series001,0.586,33.602,12.109,59.256,112.284,56.999,25.017,2.986
190,Control5.lif - Series001:0023-0088-0305:z:23/29 - Series001,0.553,66.838,44.056,89.021,54.984,15.933,21.801,2.803
191,Control5.lif - Series001:0023-0080-0327:z:23/29 - Series001,0.553,67.221,43.333,96.943,59.043,14.340,20.556,2.949
192,Control5.lif - Series001:0027-0080-0310:z:27/29 - Series001,0.521,58.526,31.000,75.556,56.037,14.370,24.775,2.637
193,Control5.lif - Series001:0015-0005-0638:z:15/29 - Series001,0.586,94.969,45.000,136.701,115.034,0.992,3.366,2.982
194,Control5.lif - Series001:0015-0005-0661:z:15/29 - Series001,0.651,96.397,25.000,126.904,119.273,0.947,0.000,3.338
195,Control5.lif - Series001:0016-0248-0799:z:16/29 - Series001,0.358,78.516,43.000,96.740,143.984,44.643,11.310,1.751
196,Control5.lif - Series001:0016-0252-0784:z:16/29 - Series001,0.455,52.447,24.000,71.751,141.369,45.455,8.746,2.283
197,Control5.lif - Series001:0009-0099-0165:z:9/29 - Series001,0.618,96.612,23.500,141.625,29.627,17.767,-12.529,3.238
198,Control5.lif - Series001:0009-0097-0145:z:9/29 - Series001,0.488,114.248,38.500,176.607,26.109,17.496,12.995,2.494
199,Control5.lif - Series001:0018-0540-0407:z:18/29 - Series001,0.455,26.097,12.222,38.333,73.473,97.523,22.620,2.369
200,Control5.lif - Series001:0018-0544-0385:z:18/29 - Series001,0.553,47.137,27.111,64.222,69.505,98.124,10.620,2.926
