 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
21,Slice1-nmdablocker.lif - Series006:0001-0305-0337:z:1/26 - Series006,0.405,164.125,49.000,255.000,80.988,73.172,38.660,1.371
22,Slice1-nmdablocker.lif - Series006:0001-0354-0337:z:1/26 - Series006,0.752,240.718,158.500,255.000,80.868,85.137,0.000,2.766
23,Slice1-nmdablocker.lif - Series006:0001-0356-0323:z:1/26 - Series006,0.578,237.602,184.000,255.000,77.742,85.558,49.399,2.211
24,Slice1-nmdablocker.lif - Series006:0001-0245-0430:z:1/26 - Series006,0.463,191.643,107.000,232.857,103.415,58.923,-33.690,1.734
25,Slice1-nmdablocker.lif - Series006:0001-0255-0442:z:1/26 - Series006,0.578,246.840,181.000,255.000,106.241,61.207,-23.962,2.259
26,Slice1-nmdablocker.lif - Series006:0001-0019-0353:z:1/26 - Series006,0.521,228.508,105.000,255.000,84.897,4.509,-54.462,1.972
27,Slice1-nmdablocker.lif - Series006:0001-0029-0361:z:1/26 - Series006,0.636,236.480,158.000,255.000,86.760,6.975,-48.814,2.479
28,Slice1-nmdablocker.lif - Series006:0001-0180-0172:z:1/26 - Series006,0.694,248.205,221.000,255.000,41.186,43.410,-56.310,2.537
29,Slice1-nmdablocker.lif - Series006:0001-0243-0104:z:1/26 - Series006,0.983,208.507,99.500,255.000,25.012,58.321,37.569,3.944
30,Slice1-nmdablocker.lif - Series006:0001-0284-0087:z:1/26 - Series006,0.983,230.057,68.000,255.000,21.044,68.422,34.695,3.803
31,Slice1-nmdablocker.lif - Series006:0001-0280-0104:z:1/26 - Series006,0.636,234.504,171.000,255.000,25.132,67.220,23.962,2.369
32,Slice1-nmdablocker.lif - Series006:0001-0280-0080:z:1/26 - Series006,0.405,242.571,192.000,255.000,19.240,67.340,0.000,1.443
33,Slice1-nmdablocker.lif - Series006:0001-0281-0070:z:1/26 - Series006,0.347,182.767,132.300,255.000,16.895,67.581,0.000,1.082
34,Slice1-nmdablocker.lif - Series006:0001-0280-0139:z:1/26 - Series006,0.521,187.444,75.000,255.000,33.430,67.340,0.000,1.924
35,Slice1-nmdablocker.lif - Series006:0001-0281-0151:z:1/26 - Series006,0.405,240.024,163.000,255.000,36.316,67.460,-18.435,1.521
36,Slice1-nmdablocker.lif - Series006:0001-0371-0731:z:1/26 - Series006,0.405,243.866,189.750,255.000,175.746,89.286,-53.130,1.371
37,Slice1-nmdablocker.lif - Series006:0001-0380-0738:z:1/26 - Series006,0.463,230.643,175.000,255.000,177.309,91.510,-74.055,1.722
