 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
188,Slice4-2doses-final.lif - Series002:0011-0912-0316:z:11/29 - Series002,0.683,101.188,27.000,146.025,56.908,164.457,21.251,3.517
189,Slice4-2doses-final.lif - Series002:0016-0962-0327:z:16/29 - Series002,0.455,80.719,30.000,112.746,58.847,173.431,26.565,2.340
190,Slice4-2doses-final.lif - Series002:0016-0966-0312:z:16/29 - Series002,0.293,104.365,64.250,132.000,56.187,174.242,39.806,1.409
191,Slice4-2doses-final.lif - Series002:0019-0721-0340:z:19/29 - Series002,0.390,41.840,22.500,88.000,61.328,129.915,45.000,1.978
192,Slice4-2doses-final.lif - Series002:0013-0932-0401:z:13/29 - Series002,0.390,100.165,55.333,152.628,72.451,168.140,37.875,2.009
193,Slice4-2doses-final.lif - Series002:0013-0926-0416:z:13/29 - Series002,0.423,93.952,39.889,128.833,75.096,167.208,34.992,2.237
194,Slice4-2doses-final.lif - Series002:0019-0875-0695:z:19/29 - Series002,0.488,75.512,54.333,105.667,125.391,157.888,36.027,2.526
195,Slice4-2doses-final.lif - Series002:0002-0584-0714:z:2/29 - Series002,0.651,67.648,41.750,88.968,128.788,105.339,27.897,3.470
196,Slice4-2doses-final.lif - Series002:0002-0596-0694:z:2/29 - Series002,0.683,77.131,41.764,97.880,125.225,107.504,34.509,3.577
197,Slice4-2doses-final.lif - Series002:0002-0312-0781:z:2/29 - Series002,0.521,120.418,45.500,170.100,140.873,56.277,42.274,2.681
198,Slice4-2doses-final.lif - Series002:0002-0323-0768:z:2/29 - Series002,0.455,84.248,57.500,97.154,138.618,58.216,32.471,2.401
199,Slice4-2doses-final.lif - Series002:0029-0195-0729:z:29/29 - Series002,0.423,78.544,50.000,97.111,131.493,35.263,24.444,2.179
200,Slice4-2doses-final.lif - Series002:0029-0195-0835:z:29/29 - Series002,0.716,81.859,28.000,110.179,150.613,35.218,5.440,3.815
