 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
123,Slice1-2doses.lif - Series003:0001-0439-0599:z:1/27 - Series003,0.390,150.688,34.778,249.272,108.165,79.215,33.690,1.936
124,Slice1-2doses.lif - Series003:0001-0430-0613:z:1/27 - Series003,0.390,76.539,27.889,105.667,110.690,77.561,52.125,1.972
125,Slice1-2doses.lif - Series003:0001-0136-0665:z:1/27 - Series003,0.358,151.682,70.333,208.542,119.889,24.501,41.186,1.840
126,Slice1-2doses.lif - Series003:0001-0127-0680:z:1/27 - Series003,0.455,97.664,47.111,122.193,122.805,23.028,32.471,2.385
127,Slice1-2doses.lif - Series003:0001-0104-0711:z:1/27 - Series003,0.618,120.659,74.433,159.532,128.307,18.729,15.524,3.289
128,Slice1-2doses.lif - Series003:0001-0098-0732:z:1/27 - Series003,0.293,78.757,53.667,103.042,132.005,17.707,45.000,1.363
129,Slice1-2doses.lif - Series003:0007-0185-0766:z:7/27 - Series003,0.358,168.927,54.000,214.398,138.348,33.339,18.435,1.735
130,Slice1-2doses.lif - Series003:0007-0178-0785:z:7/27 - Series003,0.618,207.806,91.667,249.579,141.775,32.137,33.690,3.269
131,Slice1-2doses.lif - Series003:0001-0340-0683:z:1/27 - Series003,0.813,108.462,43.333,138.153,123.106,61.297,-2.386,4.269
132,Slice1-2doses.lif - Series003:0001-0337-0656:z:1/27 - Series003,0.683,154.246,56.000,255.000,118.386,60.907,2.862,3.610
133,Slice1-2doses.lif - Series003:0001-0421-0796:z:1/27 - Series003,0.488,216.996,101.667,255.000,143.488,76.058,4.086,2.477
134,Slice1-2doses.lif - Series003:0001-0425-0777:z:1/27 - Series003,0.553,201.604,77.333,255.000,140.152,76.750,0.000,2.887
135,Slice1-2doses.lif - Series003:0001-0432-0408:z:1/27 - Series003,0.390,175.260,86.000,255.000,73.683,78.042,5.194,1.999
136,Slice1-2doses.lif - Series003:0001-0431-0428:z:1/27 - Series003,0.651,173.687,43.667,252.216,77.321,77.802,17.526,3.502
137,Slice1-2doses.lif - Series003:0001-0313-0533:z:1/27 - Series003,0.488,226.467,68.778,255.000,96.050,56.638,4.086,2.477
138,Slice1-2doses.lif - Series003:0011-0419-0529:z:11/27 - Series003,0.813,149.580,114.000,210.000,95.418,75.577,9.462,4.389
139,Slice1-2doses.lif - Series003:0011-0427-0550:z:11/27 - Series003,0.618,83.039,46.000,118.500,99.116,77.110,9.462,3.292
140,Slice1-2doses.lif - Series003:0011-0421-0577:z:11/27 - Series003,0.651,191.632,96.500,255.000,104.122,76.028,9.462,3.381
141,Slice1-2doses.lif - Series003:0011-0430-0586:z:11/27 - Series003,0.521,219.552,92.000,255.000,105.700,77.516,-11.310,2.778
142,Slice1-2doses.lif - Series003:0011-0434-0606:z:11/27 - Series003,0.618,184.144,58.000,255.000,109.262,78.373,-22.380,3.233
143,Slice1-2doses.lif - Series003:0011-0418-0496:z:11/27 - Series003,0.455,201.084,82.750,255.000,89.466,75.397,-12.995,2.407
144,Slice1-2doses.lif - Series003:0011-0410-0485:z:11/27 - Series003,0.488,167.619,99.500,189.173,87.572,73.954,21.038,2.512
145,Slice1-2doses.lif - Series003:0011-0351-0634:z:11/27 - Series003,0.586,188.136,87.750,229.574,114.358,63.221,-6.710,3.088
146,Slice1-2doses.lif - Series003:0011-0349-0655:z:11/27 - Series003,0.553,197.518,86.000,241.840,118.191,62.996,23.199,2.866
147,Slice1-2doses.lif - Series003:0011-0580-0404:z:11/27 - Series003,0.488,147.534,94.000,214.510,72.736,104.482,8.130,2.450
148,Slice1-2doses.lif - Series003:0011-0566-0315:z:11/27 - Series003,0.683,181.422,46.500,253.872,56.863,102.047,21.251,3.601
149,Slice1-2doses.lif - Series003:0011-0572-0296:z:11/27 - Series003,0.521,182.825,111.000,236.000,53.481,103.265,11.310,2.759
150,Slice1-2doses.lif - Series003:0008-0498-0292:z:8/27 - Series003,0.846,172.110,91.750,205.580,52.670,89.872,0.000,4.510
151,Slice1-2doses.lif - Series002:0001-0626-0492:z:1/32 - Series002,0.553,168.298,80.500,210.769,88.790,112.870,26.565,2.945
152,Slice1-2doses.lif - Series002:0001-0623-0516:z:1/32 - Series002,0.716,138.356,56.500,226.268,93.074,112.329,25.346,3.754
153,Slice1-2doses.lif - Series002:0001-0602-0555:z:1/32 - Series002,0.586,214.783,64.000,255.000,100.063,108.676,16.390,3.110
154,Slice1-2doses.lif - Series002:0001-0601-0574:z:1/32 - Series002,0.651,82.947,29.000,103.975,103.626,108.360,27.897,3.428
