 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
143,Control6.lif - Series001:0001-0497-0466:z:1/28 - Series001,0.925,224.406,116.333,255.000,112.013,119.468,-61.699,3.506
144,Control6.lif - Series001:0001-0613-0525:z:1/28 - Series001,0.752,202.862,125.250,238.208,126.263,147.306,-85.236,2.896
145,Control6.lif - Series001:0001-0466-0481:z:1/28 - Series001,0.521,235.236,179.000,255.000,115.500,112.073,-75.964,1.958
146,Control6.lif - Series001:0001-0474-0488:z:1/28 - Series001,0.521,200.275,104.500,255.000,117.304,113.817,-69.444,1.990
147,Control6.lif - Series001:0001-0592-0502:z:1/28 - Series001,0.405,160.992,131.500,187.139,120.671,142.196,-63.435,1.453
148,Control6.lif - Series001:0001-0603-0509:z:1/28 - Series001,0.578,118.350,49.000,161.917,122.354,144.841,-57.995,2.104
149,Control6.lif - Series001:0018-0135-0327:z:18/28 - Series001,0.636,139.595,71.500,171.100,78.583,32.468,-57.995,2.335
150,Control6.lif - Series001:0018-0176-0318:z:18/28 - Series001,0.983,237.058,107.000,255.000,76.419,42.268,-40.236,3.926
151,Control6.lif - Series001:0018-0122-0330:z:18/28 - Series001,0.636,142.916,30.000,255.000,79.305,29.221,95.711,2.432
152,Control6.lif - Series003:0001-0418-0459:z:1/16 - Series003,0.983,54.527,38.833,100.852,110.510,100.489,34.695,3.896
153,Control6.lif - Series003:0001-0408-0473:z:1/16 - Series003,0.752,52.479,8.667,72.556,113.837,98.204,38.660,2.982
154,Control6.lif - Series003:0001-0386-0514:z:1/16 - Series003,0.983,25.135,5.514,64.281,123.818,92.993,34.695,3.849
155,Control6.lif - Series003:0001-0379-0527:z:1/16 - Series003,0.463,27.905,20.000,37.020,126.984,91.150,38.660,1.603
156,Control6.lif - Series003:0001-0440-0460:z:1/16 - Series003,0.810,111.821,61.667,185.819,110.750,105.980,61.390,3.122
157,Control6.lif - Series003:0001-0231-0647:z:1/16 - Series003,0.405,81.928,42.000,104.444,155.764,55.636,38.660,1.513
